,appid,all-descriptions
Agarest Zero - DLC Pack 1,281600, Single-player Downloadable Content Steam Achievements Full controller support Steam Trading Cards Steam Cloud Steam Leaderboards Adventure RPG Strategy Agarest Zero - DLC Bundle #1Bundle #1 contains the following three packs:Daily Extension Pack:Carrot swordSuper scallionLollipop stickClassic kettlePot lidKaopectateFormidable Pack:Chickapede alertMan fistDrying typhoonPaw bootiesGaspodeExtra Points Pack 3:1000000 Gold750 PP2500 TP500000 EP Agarest Zero - DLC Bundle #1Bundle #1 contains the following three packs:Daily Extension Pack:Carrot swordSuper scallionLollipop stickClassic kettlePot lidKaopectateFormidable Pack:Chickapede alertMan fistDrying typhoonPaw bootiesGaspodeExtra Points Pack 3:1000000 Gold750 PP2500 TP500000 EP Agarest Zero - DLC Bundle #1Bundle #1 contains the following three packs:Daily Extension Pack:Carrot swordSuper scallionLollipop stickClassic kettlePot lidKaopectateFormidable Pack:Chickapede alertMan fistDrying typhoonPaw bootiesGaspodeExtra Points Pack 3:1000000 Gold750 PP2500 TP500000 EP
Agarest Zero - DLC Pack 2,281601, Single-player Downloadable Content Steam Achievements Full controller support Steam Trading Cards Steam Cloud Steam Leaderboards Adventure RPG Strategy Chaotic War PackContains:Rage BlasterVajra RodAltis Rod99 MagnumEpsilon RingThe L Family PackContains:oden daggerRed thrusting hellLe crusherThe maidinatorExtra Points Pack 4Contains 50000000 gold and 50000000 Ep Chaotic War PackContains:Rage BlasterVajra RodAltis Rod99 MagnumEpsilon RingThe L Family PackContains:oden daggerRed thrusting hellLe crusherThe maidinatorExtra Points Pack 4Contains 50000000 gold and 50000000 Ep Chaotic War PackContains:Rage BlasterVajra RodAltis Rod99 MagnumEpsilon RingThe L Family PackContains:oden daggerRed thrusting hellLe crusherThe maidinatorExtra Points Pack 4Contains 50000000 gold and 50000000 Ep
Agarest Zero - DLC Pack 3,281602, Single-player Downloadable Content Steam Achievements Full controller support Steam Trading Cards Steam Cloud Steam Leaderboards Adventure RPG Strategy Tomorrow's Hero PackContains:Leonhardt's swordTenma SwordAlfa Beld SpearDestructorIssei FubiParochial MegasuitSchie's Bargain PackContains:Wiether wurstIce creamDeshimaruBrother StaveHIROKO'sExtra TP Pack Contains 2500PP and 20000TP Tomorrow's Hero PackContains:Leonhardt's swordTenma SwordAlfa Beld SpearDestructorIssei FubiParochial MegasuitSchie's Bargain PackContains:Wiether wurstIce creamDeshimaruBrother StaveHIROKO'sExtra TP Pack Contains 2500PP and 20000TP Tomorrow's Hero PackContains:Leonhardt's swordTenma SwordAlfa Beld SpearDestructorIssei FubiParochial MegasuitSchie's Bargain PackContains:Wiether wurstIce creamDeshimaruBrother StaveHIROKO'sExtra TP Pack Contains 2500PP and 20000TP
Agarest Zero - DLC Pack 4,281603, Single-player Downloadable Content Steam Achievements Full controller support Steam Trading Cards Steam Cloud Steam Leaderboards Adventure RPG Strategy Halcyon Days PackContains:LoofahInjector MaximusThe SluggerGeometer and robe of DiogenesSupreme Weapon PackContains: Sac. Vie RougeLangguth SwordHakken MeteorOmniscient RodGate of HellExtra PP Pack 1Contains 10000 PP Halcyon Days PackContains:LoofahInjector MaximusThe SluggerGeometer and robe of DiogenesSupreme Weapon PackContains: Sac. Vie RougeLangguth SwordHakken MeteorOmniscient RodGate of HellExtra PP Pack 1Contains 10000 PP Halcyon Days PackContains:LoofahInjector MaximusThe SluggerGeometer and robe of DiogenesSupreme Weapon PackContains: Sac. Vie RougeLangguth SwordHakken MeteorOmniscient RodGate of HellExtra PP Pack 1Contains 10000...
Agarest Zero - DLC Pack 5,281604, Single-player Downloadable Content Steam Achievements Full controller support Steam Trading Cards Steam Cloud Steam Leaderboards Adventure RPG Strategy Prosaic Bonus PackContains: Sword of ChaosSigil WingCore ElementalAvian LapbandChickapede CharmApostle of Wind PackContains: ZefalonRebellionLegendary PawWind of CarillionExtra PP Pack 2contains 10000 PP Prosaic Bonus PackContains: Sword of ChaosSigil WingCore ElementalAvian LapbandChickapede CharmApostle of Wind PackContains: ZefalonRebellionLegendary PawWind of CarillionExtra PP Pack 2contains 10000 PP Prosaic Bonus PackContains: Sword of ChaosSigil WingCore ElementalAvian LapbandChickapede CharmApostle of Wind PackContains: ZefalonRebellionLegendary PawWind of CarillionExtra PP Pack 2contains 10000 PP
Agarest Zero - DLC Pack 7,281606," Single-player Downloadable Content Steam Achievements Full controller support Steam Trading Cards Steam Cloud Steam Leaderboards Adventure RPG Strategy Agarest Zero - DLC Bundle #6New Forbidden Book 1Contains Forbidden Tome 6New Forbidden Book 2Contains Forbidden Tome 7New Forbidden Book 3Contains Forbidden Tome 8 Agarest Zero - DLC Bundle #6New Forbidden Book 1Contains Forbidden Tome 6New Forbidden Book 2Contains Forbidden Tome 7New Forbidden Book 3Contains Forbidden Tome 8 Agarest Zero - DLC Bundle #6 New Forbidden Book 1, New Forbidden Book 2, New Forbidden Book 3"
Age of Booty,21600," Single-player Casual Strategy Set in the swashbuckling era, Age of Booty™ is a casual real-time strategy game that puts players at the helm of their own pirate ship with the goal of sending your enemies to the briny deep, and looting and capturing towns for your pirate faction.In Age of Booty™, players team up with AI-controlled pirate ships to raid, pillage, sink, and destroy their way to dominance on the high seas. Spoils of war and booty are used to upgrade and customize pirate ships to make them even more deadly as players take on 25 unique challenges and seven of the most devious Pirate Alliances on the high seas. Create custom maps using the intuitive map creation system.Single player real-time action strategy from Certain Affinity, lead by Max Hoberman, designer of Halo 2 and 3's multiplayer game.Raid villages, sink merchants, seize towns, steal gold, upgrade your pirate ship and use your guns and your wits to send your foes to the briny deep.Master 25 unique maps or create your own. Set in the swashbuckling era, Age of Booty™ is a casual real-time strategy game that puts players at the helm of their own pirate ship with the goal of sending your enemies to the briny deep, and looting and capturing towns for your pirate faction.In Age of Booty™, players team up with AI-controlled pirate ships to raid, pillage, sink, and destroy their way to dominance on the high seas. Spoils of war and booty are used to upgrade and customize pirate ships to make them even more deadly as players take on 25 unique challenges and seven of the most devious Pirate Alliances on the high seas. Create custom maps using the intuitive map creation system.Single player real-time action strategy from Certain Affinity, lead by Max Hoberman, designer of Halo 2 and 3's multiplayer game.Raid villages, sink merchants, seize towns, steal gold, upgrade your pirate ship and use your guns and your wits to send your foes to the briny deep.Master 25 unique maps or create your own. Set in the swashbuckling era, Age of Booty™ is a casual real-time strategy game that puts players at the helm of their own pirate ship with the goal of sending your enemies to the briny deep, and looting and capturing towns for your pirate faction."
Age of Chivalry,17510," Multi-player Co-op Mods Mods (require HL2) Steam Achievements Indie Age of Chivalry is a total conversion for Half-Life 2 from Team Chivalry,  a close group of friends dedicated to creating a fun, story-driven multiplayer experience set in a fantasy world in the medieval ages.					Age of Chivalry features a fast paced first person melee combat system that will take the player to a new level of immersion. Players will be able to take part in sieges, town raids and open war in a story driven game. Story Driven Multiplayer: Our unique way of allowing the players to continue writing the story depending on the outcome of the battles.  For instance, you can siege the shore and push enemies back into the deep forests on their lands.  If your strength is great enough, you may determine the course of history by destroying their lands and laying siege to their town's castle. Classes: We serve you with preset classes optimized for the best combined use of weapons and armor. Classes include archers, footmen, and knights. Weapons: Diverse range of weapons, such as multiple types of daggers, swords, axes, bows, spears, and even hot oil pots. Siege Engines include Catapult, Trebuchet, Battering-ram and more. Age of Chivalry is a total conversion for Half-Life 2 from Team Chivalry,  a close group of friends dedicated to creating a fun, story-driven multiplayer experience set in a fantasy world in the medieval ages.					Age of Chivalry features a fast paced first person melee combat system that will take the player to a new level of immersion. Players will be able to take part in sieges, town raids and open war in a story driven game. Story Driven Multiplayer: Our unique way of allowing the players to continue writing the story depending on the outcome of the battles.  For instance, you can siege the shore and push enemies back into the deep forests on their lands.  If your strength is great enough, you may determine the course of history by destroying their lands and laying siege to their town's castle. Classes: We serve you with preset classes optimized for the best combined use of weapons and armor. Classes include archers, footmen, and knights. Weapons: Diverse range of weapons, such as multiple types of daggers, swords, axes, bows, spears, and even hot oil pots. Siege Engines include Catapult, Trebuchet, Battering-ram and more. Age of Chivalry is a total conversion for Half-Life 2 from Team Chivalry, a close group of friends dedicated to creating a fun, story-driven multiplayer experience set in a fantasy world in the medieval ages. Age of Chivalry features a fast paced first person melee combat system that will take the player to a new level of immersion."
Age of Conan - Hyborian Adventures,6340,
Age of Conan Rise of the Godslayer,-1,
Age of Conan Unchained - EU version,-1,
Age of Empires II HD Edition,-1,
Age of Empires II HD The Forgotten,-1,
Age of Empires III Complete Collection,-1,
Age of Empires Online,105430,
Age of Fear 2 The Chaos Lord,-1,
Age of Mythology Extended Edition,-1,
Age of Wonders,61500," Single-player Multi-player RPG Strategy Age of Wonders: Planetfall is now available!https://store.steampowered.com/app/718850/Age_of_Wonders_Planetfall/About the GameWelcome to Age of Wonders, the authentic turn based fantasy strategy classic that started the hit series. Age of Wonders’ intimate atmosphere with painterly graphics still shines today. The game’s fully patched up,  start building your fantasy empire today!						The Age of Wonders, once a time of magic and peace.  An age swept into the ravaging gale of chaos by the arrival of a single, uninvited race: the Humans. The fragile balance that existed between the ancient races, Elves, Dwarves, Orcs and others, has changed into a struggle for power and survival in the wake of the turmoil the Humans have brought to the land. Prepare for a strategy adventure where you will uncover wondrous ancient artifacts, awesome magical power, and the secrets of a shattered empire. Ally with the forces of light or darkness to determine the fate of the world in the Age of Wonders! Key features: Age of Wonders is a turn-based game combining the best elements of strategy, adventure and role-playing.  12 unique fantasy races, over 50 different heroes with upgradable abilities, dozens of spells and scores of locations to explore. Employ strategic and tactical skills to command troops in capturing vital locations and defeating enemies. Battle your way through vast open lands, breach the outer wall in city sieges and explore deadly dungeons.  Forge strategic alliances with compatible races to leverage each race's unique skills and abilities. Experience captivating single player campaign playable from the light and dark side. Play multi-player games against your friends through hotseat play, play-by-email, over LAN or the Internet. The latter two modes feature an additional game play mode of simultaneous turns for a fast game pace. Welcome to Age of Wonders, the authentic turn based fantasy strategy classic that started the hit series. Age of Wonders’ intimate atmosphere with painterly graphics still shines today. The game’s fully patched up,  start building your fantasy empire today!						The Age of Wonders, once a time of magic and peace.  An age swept into the ravaging gale of chaos by the arrival of a single, uninvited race: the Humans. The fragile balance that existed between the ancient races, Elves, Dwarves, Orcs and others, has changed into a struggle for power and survival in the wake of the turmoil the Humans have brought to the land. Prepare for a strategy adventure where you will uncover wondrous ancient artifacts, awesome magical power, and the secrets of a shattered empire. Ally with the forces of light or darkness to determine the fate of the world in the Age of Wonders! Key features: Age of Wonders is a turn-based game combining the best elements of strategy, adventure and role-playing.  12 unique fantasy races, over 50 different heroes with upgradable abilities, dozens of spells and scores of locations to explore. Employ strategic and tactical skills to command troops in capturing vital locations and defeating enemies. Battle your way through vast open lands, breach the outer wall in city sieges and explore deadly dungeons.  Forge strategic alliances with compatible races to leverage each race's unique skills and abilities. Experience captivating single player campaign playable from the light and dark side. Play multi-player games against your friends through hotseat play, play-by-email, over LAN or the Internet. The latter two modes feature an additional game play mode of simultaneous turns for a fast game pace. Welcome to Age of Wonders, the authentic turn based fantasy strategy classic that started the hit series. Age of Wonders’ intimate atmosphere with painterly graphics still shines today. The game’s fully patched up, start building your fantasy empire today!"
Age of Wonders 2,-1,
Age of Wonders III,226840," Single-player Multi-player Co-op Shared/Split Screen Cross-Platform Multiplayer Steam Achievements Steam Trading Cards Steam Workshop Steam Cloud Includes level editor Remote Play Together RPG Strategy Age of Wonders: Planetfall is now available!https://store.steampowered.com/app/718850/Age_of_Wonders_Planetfall/About the GameAge of Wonders III is the long anticipated sequel to the award-winning strategy series. Delivering a unique mix of Empire Building, Role Playing and Warfare, Age of Wonders III offers the ultimate in turn-based fantasy strategy for veterans of the series and new players alike!Create an Empire in your own ImageRule as one of 6 RPG style leader classes: Sorcerer, Theocrat, Rogue, Warlord, Archdruid, or the tech-focused Dreadnought.Research powerful skills unique to your class to develop your empire and arsenal.Choose your allies from among the six main races - Humans, High Elves, Dwarves, Orcs, Goblins and Draconians - and fantastical monster dwellings.Explore and Exploit a Living Fantasy WorldExplore a rich fantasy world that is more detailed and alive than ever with over 50 location types to raid for treasure.Expand your domain by building new settlements, forge pacts with monstrous allies and capture valuable resources.Wield earth shattering magic and terra-form the lands for your needs.Fight In-depth Tactical BattlesRecruit legendary heroes, equip them with magical weapons, and let them lead your armies into battle.Crush your enemies using the detailed 3D turn-based Tactical Combat System.Become a master tactician.  Crush city defenses. Learn to use flanking and master your army’s hundreds of abilities.Master Age of Wonders III’s many Modes!Immerse yourself in a rich single player story campaign, playable from two sides of an epic conflict.Create endless scenarios using the random map generator.Compete in multiplayer wars with up to 8 players online.Please note that:Level Editing Tools are provided as a courtesy to fans. They might have different system specifications from the Age of Wonders III game, are not tech supported and have an English only interface.Coop: Random maps and stand-alone scenarios can be played using player alliances versus computer opponents.Local Coop: Random maps and stand-alone scenarios can be played using “Hot Seat” mode on the same computer using player alliances versus computer opponents. Age of Wonders III is the long anticipated sequel to the award-winning strategy series. Delivering a unique mix of Empire Building, Role Playing and Warfare, Age of Wonders III offers the ultimate in turn-based fantasy strategy for veterans of the series and new players alike!Create an Empire in your own ImageRule as one of 6 RPG style leader classes: Sorcerer, Theocrat, Rogue, Warlord, Archdruid, or the tech-focused Dreadnought.Research powerful skills unique to your class to develop your empire and arsenal.Choose your allies from among the six main races - Humans, High Elves, Dwarves, Orcs, Goblins and Draconians - and fantastical monster dwellings.Explore and Exploit a Living Fantasy WorldExplore a rich fantasy world that is more detailed and alive than ever with over 50 location types to raid for treasure.Expand your domain by building new settlements, forge pacts with monstrous allies and capture valuable resources.Wield earth shattering magic and terra-form the lands for your needs.Fight In-depth Tactical BattlesRecruit legendary heroes, equip them with magical weapons, and let them lead your armies into battle.Crush your enemies using the detailed 3D turn-based Tactical Combat System.Become a master tactician.  Crush city defenses. Learn to use flanking and master your army’s hundreds of abilities.Master Age of Wonders III’s many Modes!Immerse yourself in a rich single player story campaign, playable from two sides of an epic conflict.Create endless scenarios using the random map generator.Compete in multiplayer wars with up to 8 players online.Please note that:Level Editing Tools are provided as a courtesy to fans. They might have different system specifications from the Age of Wonders III game, are not tech supported and have an English only interface.Coop: Random maps and stand-alone scenarios can be played using player alliances versus computer opponents.Local Coop: Random maps and stand-alone scenarios can be played using “Hot Seat” mode on the same computer using player alliances versus computer opponents. Age of Wonders III is the long anticipated sequel to the award-winning strategy series. Delivering a unique mix of Empire Building, Role Playing and Warfare, Age of Wonders III offers the ultimate in turn-based fantasy strategy for veterans of the series and new players alike!"
Age of Wonders Shadow Magic,-1,
Age of Wonders Trilogy Soundtrack,-1,
Age of Wushu,-1,
Aggression Europe Under Fire,-1,
Agricultural Simulator 2011 Extended Edition,-1,
Agricultural Simulator 2013 Steam Edition,236790," Single-player Steam Achievements Stats Casual Simulation Best In Farming!An idyllic farming environment surrounded by inviting & untilled mountain panoramas set in the beautiful landscapes of Tuscany, The Alps and USA await all fans of the Agricultural Simulator series.At their own farm hobby-farmers undertake the daily tasks and challenges of a professional: The production of food, sustainable resources and delivery of eco products all have to be managed.Fields have to be worked and farm animals cared for. The dynamic ground makes the whole game more realistic! Future farmers have to invest tactically and with foresight – the rapid spend of budgets by running costs and seed bills must not be underestimated. To realize a profit takes financial and tactical skill.Key FeaturesIncluding  Interactive TutorialIncludes 4 MapsIncludes more than 100 machinesFree placeable building including:Solar Energy PlantGreenhouseWindmillsDung Tank 	Extensive Help System, including Transport tasks	6 different animal species Best In Farming!An idyllic farming environment surrounded by inviting & untilled mountain panoramas set in the beautiful landscapes of Tuscany, The Alps and USA await all fans of the Agricultural Simulator series.At their own farm hobby-farmers undertake the daily tasks and challenges of a professional: The production of food, sustainable resources and delivery of eco products all have to be managed.Fields have to be worked and farm animals cared for. The dynamic ground makes the whole game more realistic! Future farmers have to invest tactically and with foresight – the rapid spend of budgets by running costs and seed bills must not be underestimated. To realize a profit takes financial and tactical skill.Key FeaturesIncluding  Interactive TutorialIncludes 4 MapsIncludes more than 100 machinesFree placeable building including:Solar Energy PlantGreenhouseWindmillsDung Tank 	Extensive Help System, including Transport tasks	6 different animal species Best In Farming!An idyllic farming environment surrounded by inviting & untilled mountain panoramas set in the beautiful landscapes of Tuscany, The Alps and USA await all fans of the Agricultural Simulator series."
Agricultural Simulator Historical Farming,-1,
Aion,29640," Multi-player MMO Massively Multiplayer Aion 2.5 Empyrean Calling™ Is Here!Empyrean Calling™ provides fantasy role players with requested features and content along with a way to experience it for free as part of a brand new Aion free trial program. So whether players choose to take on the imposing Balaur to disrupt their supply lines, battle through more than fifty challenges in rapid succession within the Empyrean Crucible, or jump in for the first time to experience what all the hype is about, Aion: Empyrean Calling™ features something for everyone!About the GameAion®: Assault on Balaurea™ (Aion 2.0) evolves the game’s story and terrain as it expands the game world of Atreia far beyond the traditional territories of Asmodae and Elysea. In this new chapter of Aion, characters take the fight against the invading Balaur into Balaurea, the Balaur’s homeland, through a counterassault against that massive, dragonlike enemy race and its allies.
Aion: Assault on Balaurea will leave players breathless as they encounter jaw-dropping new challenges, novel and updated instances and zones, an increased level cap, and fresh weapons, items, skills, and flight mechanics.  And characters will not be exploring the new zones all by themselves, as Aion: Assault on Balaurea introduces functional pets equipped with in-game benefits that will rapidly become constant character companions.
Key Expansion Features

New Instances: Aion: Assault on Balaurea offers eight new instances that provide a range of challenges from solo adventures to full-on Legion raids. Characters will face Balaur cultists in the Udas Temple instance, explore the roots of a great Elim tree creature, and fight each other in one of Aion’s fierce PvPvE battles aboard the Chantra Dredgion, the new Balaur supply ship.
New Zones: Players will explore the vast lands of Balaurea, the home of the Balaur, ruled by the Dragon Lord Tiamat. The Asmodians and Elyos have established fortresses in the two new zones: Gelkmaros and Ingisson. Each area features completely new environments, powerful monsters, and unique flight mechanics to enjoy.
Useful Pets: Pets are no longer purely decorative. Aion creates an entire new subsystem for players to explore as characters acquire functional pets capable of storing goods, assisting with crafting, or acting as guardians by alerting their masters to nearby enemies.
Increased Level Cap to Level 55: Characters will discover new weapons, earn new items, and learn new skills as they explore the dangerous lands of Balaurea in their journey toward level 55.
Enhanced Flight Mechanics: Windstreams, a new enhanced flight mechanic with varying strengths and effects, allow characters to traverse the vast new zones of Gelkmaros and Ingisson faster and with unlimited flight time.
Twitter Integration: Aion’s new Twitter feed functionality, with its fluid integration into the game, makes it easy for players to display their bragging rights to their friends. Players can capture and Twitpic up to ten of their favorite screenshots using the updated in-game UI.

 Aion®: Assault on Balaurea™ (Aion 2.0) evolves the game’s story and terrain as it expands the game world of Atreia far beyond the traditional territories of Asmodae and Elysea. In this new chapter of Aion, characters take the fight against the invading Balaur into Balaurea, the Balaur’s homeland, through a counterassault against that massive, dragonlike enemy race and its allies.
Aion: Assault on Balaurea will leave players breathless as they encounter jaw-dropping new challenges, novel and updated instances and zones, an increased level cap, and fresh weapons, items, skills, and flight mechanics.  And characters will not be exploring the new zones all by themselves, as Aion: Assault on Balaurea introduces functional pets equipped with in-game benefits that will rapidly become constant character companions.
Key Expansion Features

New Instances: Aion: Assault on Balaurea offers eight new instances that provide a range of challenges from solo adventures to full-on Legion raids. Characters will face Balaur cultists in the Udas Temple instance, explore the roots of a great Elim tree creature, and fight each other in one of Aion’s fierce PvPvE battles aboard the Chantra Dredgion, the new Balaur supply ship.
New Zones: Players will explore the vast lands of Balaurea, the home of the Balaur, ruled by the Dragon Lord Tiamat. The Asmodians and Elyos have established fortresses in the two new zones: Gelkmaros and Ingisson. Each area features completely new environments, powerful monsters, and unique flight mechanics to enjoy.
Useful Pets: Pets are no longer purely decorative. Aion creates an entire new subsystem for players to explore as characters acquire functional pets capable of storing goods, assisting with crafting, or acting as guardians by alerting their masters to nearby enemies.
Increased Level Cap to Level 55: Characters will discover new weapons, earn new items, and learn new skills as they explore the dangerous lands of Balaurea in their journey toward level 55.
Enhanced Flight Mechanics: Windstreams, a new enhanced flight mechanic with varying strengths and effects, allow characters to traverse the vast new zones of Gelkmaros and Ingisson faster and with unlimited flight time.
Twitter Integration: Aion’s new Twitter feed functionality, with its fluid integration into the game, makes it easy for players to display their bragging rights to their friends. Players can capture and Twitpic up to ten of their favorite screenshots using the updated in-game UI.

 ""It is fantastically gorgeous, with thousands of little details to gorge on."" - MMORPG.com, June 2009 ""The screenshots don't do this world justice at all. It's true epic fantasy."" - Examiner, June 2009 ""The world of Aion is high fantasy at its finest."" - GameSpy.com, August 2008!"
Aion Collectors Edition,29650," Multi-player MMO Massively Multiplayer 
This is the Collector's Edition. Check out the Aion® Standard Edition which comes without the bonus items mentioned below.

A World Divided 
Spread your wings and take flight in Aion™, the stunning MMORPG where you explore a celestial world of breath-taking beauty and epic adventure. You are a winged Elyos or Asmodian, sworn enemy races who discover a common foe: the twisted and depraved Balaur.
Wielding devastating powers and sweeping wings, you must restore balance to a land shattered by cataclysm. 
Features 

The Thrill of Flight: 
Soar to great heights and battle in the open skies of Atreia. Flying in Aion is not just a way to travel — it is a strategic and integral part of the game, adding a fresh dynamic to all aspects of the genre, including combat, quests, and exploration. 
Stunning World: 
Discover a meticulously crafted fantasy world brimming with otherworldly inhabitants, mysterious enemies, and ancient secrets. 
Epic Adventure: 
Experience captivating, story-driven quests as you play a critical role in a celestial civil war that has raged for hundreds of years.
					Intense Visceral Combat: 
Engage in a spectacular and evolving combat system utilizing combos, skill chains, counterattacks, and spectacular aerial combat. Plan and execute raids against rival factions, and earn special ranks and rewards through victory.
					Unprecedented Customization: 
Take individuality to a new level through an incredibly in-depth character creation tool, advanced crafting systems, and extensive item customization. 
In-Depth Crafting: 
Create potent tools of war and defense through a highly flexible crafting system that extends to hundreds of items, weapons, and abilities. 
Innovative PvPvE: 
Aion introduces a new dynamic to MMOs by combining both PvP and PvE gameplay into an exciting new style. As player factions fight amongst themselves and against the AI-controlled Balaur, enemies can become allies in a desperate fight for survival. Join thousands in the relentless war for dominance in the pivotal Abyss! 
Unmatched Visuals: 
Explore one of the most amazingly beautiful and detailed MMORPGs ever as you fight to save a vibrant world, all brought to life by the powerful Crytek engine. 

The Aion Collector's Edition gives you these additional in-game items:

Black Cloud Wings (gives 40 seconds of additional flight time)
Black Cloud Earring (gives an HP and an MP boost)
Special character title with stat boost
Color dye to tint one in-game item
Two character emotes


Collector's Edition of Aion also comes with:

Serial code for account creation
Access to the full game via a downloadable client
30 days of free game time

 
This is the Collector's Edition. Check out the Aion® Standard Edition which comes without the bonus items mentioned below.

A World Divided 
Spread your wings and take flight in Aion™, the stunning MMORPG where you explore a celestial world of breath-taking beauty and epic adventure. You are a winged Elyos or Asmodian, sworn enemy races who discover a common foe: the twisted and depraved Balaur.
Wielding devastating powers and sweeping wings, you must restore balance to a land shattered by cataclysm. 
Features 

The Thrill of Flight: 
Soar to great heights and battle in the open skies of Atreia. Flying in Aion is not just a way to travel — it is a strategic and integral part of the game, adding a fresh dynamic to all aspects of the genre, including combat, quests, and exploration. 
Stunning World: 
Discover a meticulously crafted fantasy world brimming with otherworldly inhabitants, mysterious enemies, and ancient secrets. 
Epic Adventure: 
Experience captivating, story-driven quests as you play a critical role in a celestial civil war that has raged for hundreds of years.
					Intense Visceral Combat: 
Engage in a spectacular and evolving combat system utilizing combos, skill chains, counterattacks, and spectacular aerial combat. Plan and execute raids against rival factions, and earn special ranks and rewards through victory.
					Unprecedented Customization: 
Take individuality to a new level through an incredibly in-depth character creation tool, advanced crafting systems, and extensive item customization. 
In-Depth Crafting: 
Create potent tools of war and defense through a highly flexible crafting system that extends to hundreds of items, weapons, and abilities. 
Innovative PvPvE: 
Aion introduces a new dynamic to MMOs by combining both PvP and PvE gameplay into an exciting new style. As player factions fight amongst themselves and against the AI-controlled Balaur, enemies can become allies in a desperate fight for survival. Join thousands in the relentless war for dominance in the pivotal Abyss! 
Unmatched Visuals: 
Explore one of the most amazingly beautiful and detailed MMORPGs ever as you fight to save a vibrant world, all brought to life by the powerful Crytek engine. 

The Aion Collector's Edition gives you these additional in-game items:

Black Cloud Wings (gives 40 seconds of additional flight time)
Black Cloud Earring (gives an HP and an MP boost)
Special character title with stat boost
Color dye to tint one in-game item
Two character emotes


Collector's Edition of Aion also comes with:

Serial code for account creation
Access to the full game via a downloadable client
30 days of free game time

 This is the Collector's Edition. Check out the Aion® Standard Edition which comes without the bonus items mentioned below. A World Divided Spread your wings and take flight in Aion™, the stunning MMORPG where you explore a celestial world of breath-taking beauty and epic adventure."
Air Brawl,375600," Multi-player Partial Controller Support Action Indie Air Brawl provides interesting and creative ways for the player to destroy their enemies.  Instead of just damage, weapons have many different attributes they can afflict on their targets. Some weapons slow the enemy, some disable their steering and some damage them over time. And these are just a few.Class basedThe game features 6 planes with varying roles and loadouts.    The planes are:   The Fatbird which excels at close  quarters combat and setting up traps.    The Sharp Shooter which utilizes high accuracy weapons and high mobility to get the upper hand  The Witch Doctor which specialises in dealing damage over time area denial.     The Viking which overpowers its foes with its high health and strong belief that hammers make great anti aircraft weapons.  The Cyber Priest which has great supportive abilities. Either healing its team mates or disabling enemies, setting them up as easy targets.   The Elder which is the newest addition to Air Brawl. It has high burst damage as well as lots of crowd controls like entangling roots or magnetic fields. Air Brawl provides interesting and creative ways for the player to destroy their enemies.  Instead of just damage, weapons have many different attributes they can afflict on their targets. Some weapons slow the enemy, some disable their steering and some damage them over time. And these are just a few.Class basedThe game features 6 planes with varying roles and loadouts.    The planes are:   The Fatbird which excels at close  quarters combat and setting up traps.    The Sharp Shooter which utilizes high accuracy weapons and high mobility to get the upper hand  The Witch Doctor which specialises in dealing damage over time area denial.     The Viking which overpowers its foes with its high health and strong belief that hammers make great anti aircraft weapons.  The Cyber Priest which has great supportive abilities. Either healing its team mates or disabling enemies, setting them up as easy targets.   The Elder which is the newest addition to Air Brawl. It has high burst damage as well as lots of crowd controls like entangling roots or magnetic fields. A fast paced multiplayer dogfighting game that focuses on creative weapons and game mechanics that reward skillful flying."
